Date,Close
2021/7/23,5089.23
2021/7/26,4925.30
2021/7/27,4751.31
2021/7/28,4760.48
2021/7/29,4850.27
2021/7/30,4811.17
2021/8/2,4933.74
2021/8/3,4934.46
2021/8/4,4978.85
2021/8/5,4948.67
2021/8/6,4921.56
2021/8/9,4985.56
2021/8/10,5043.15
2021/8/11,5015.34
2021/8/12,4973.35
2021/8/13,4945.98
2021/8/16,4941.07
2021/8/17,4837.40
2021/8/18,4894.24
2021/8/19,4862.14
2021/8/20,4769.27
2021/8/23,4835.88
2021/8/24,4888.39
2021/8/25,4898.16
2021/8/26,4801.61
2021/8/27,4827.04
2021/8/30,4813.27
2021/8/31,4805.61
2021/9/1,4869.46
2021/9/2,4869.41
2021/9/3,4843.06
2021/9/6,4933.73
2021/9/7,4992.83
2021/9/8,4972.13
2021/9/9,4970.01
2021/9/10,5013.52
2021/9/13,4991.66
2021/9/14,4917.16
2021/9/15,4867.32
2021/9/16,4807.70
2021/9/17,4855.94
2021/9/22,4821.77
2021/9/23,4853.20
2021/9/24,4849.43
2021/9/27,4877.37
2021/9/28,4883.83
2021/9/29,4833.93
2021/9/30,4866.38
2021/10/8,4929.94
2021/10/11,4936.19
2021/10/12,4883.84
2021/10/13,4940.11
2021/10/14,4913.61
2021/10/15,4932.11
2021/10/18,4874.78
2021/10/19,4922.72
2021/10/20,4910.18
2021/10/21,4928.02
2021/10/22,4959.73
2021/10/25,4979.52
2021/10/26,4963.10
2021/10/27,4898.16
2021/10/28,4864.14
2021/10/29,4908.77
2021/11/1,4890.69
2021/11/2,4839.85
2021/11/3,4821.11
2021/11/4,4868.74
2021/11/5,4842.35
2021/11/8,4848.18
2021/11/9,4846.74
2021/11/10,4821.19
2021/11/11,4898.65
2021/11/12,4888.38
2021/11/15,4882.38
2021/11/16,4883.32
2021/11/17,4885.75
2021/11/18,4837.62
2021/11/19,4890.06
2021/11/22,4912.40
2021/11/23,4913.35
2021/11/24,4916.66
2021/11/25,4896.44
2021/11/26,4860.13
2021/11/29,4851.42
2021/11/30,4832.03
2021/12/1,4843.85
2021/12/2,4856.16
2021/12/3,4901.02
2021/12/6,4892.62
2021/12/7,4922.10
2021/12/8,4995.93
2021/12/9,5078.69
2021/12/10,5055.12
2021/12/13,5083.80
2021/12/14,5049.70
2021/12/15,5005.90
2021/12/16,5034.73
2021/12/17,4954.76
2021/12/20,4880.42
2021/12/21,4913.49
2021/12/22,4914.45
2021/12/23,4948.74
2021/12/24,4921.34
2021/12/27,4919.32
2021/12/28,4955.96
2021/12/29,4883.48
2021/12/30,4921.51
2021/12/31,4940.37
2022/1/4,4917.77
2022/1/5,4868.12
2022/1/6,4818.23
2022/1/7,4822.37
2022/1/10,4844.04
2022/1/11,4797.77
2022/1/12,4845.58
2022/1/13,4765.92
2022/1/14,4726.73
2022/1/17,4767.28
2022/1/18,4813.35
2022/1/19,4780.38
2022/1/20,4823.51
2022/1/21,4779.31
2022/1/24,4786.74
2022/1/25,4678.45
2022/1/26,4712.31
2022/1/27,4619.88
2022/1/28,4563.77
2022/2/7,4634.09
2022/2/8,4608.77
2022/2/9,4652.06
2022/2/10,4639.86
2022/2/11,4601.40
2022/2/14,4551.69
2022/2/15,4600.10
2022/2/16,4617.99
2022/2/17,4629.17
2022/2/18,4651.24
2022/2/21,4634.31
2022/2/22,4574.15
2022/2/23,4623.05
2022/2/24,4529.32
2022/2/25,4573.42
2022/2/28,4581.65
2022/3/1,4619.69
2022/3/2,4578.60
2022/3/3,4551.63
2022/3/4,4496.43
2022/3/7,4352.78
2022/3/8,4265.39
2022/3/9,4226.35
2022/3/10,4292.84
2022/3/11,4306.52
2022/3/14,4174.76
2022/3/15,3983.81
2022/3/16,4156.08
2022/3/17,4237.70
2022/3/18,4265.90
2022/3/21,4258.75
2022/3/22,4255.29
2022/3/23,4276.52
2022/3/24,4251.31
2022/3/25,4174.57
2022/3/28,4148.47
2022/3/29,4134.14
2022/3/30,4254.10
2022/3/31,4222.60
2022/4/1,4276.16
2022/4/6,4263.84
2022/4/7,4209.10
2022/4/8,4230.77
2022/4/11,4100.07
2022/4/12,4179.97
2022/4/13,4139.74
2022/4/14,4191.57
2022/4/15,4188.75
2022/4/18,4166.38
2022/4/19,4134.90
2022/4/20,4070.79
2022/4/21,3995.83
2022/4/22,4013.25
2022/4/25,3814.91
2022/4/26,3784.12
2022/4/27,3895.54
2022/4/28,3921.11
2022/4/29,4016.24
2022/5/5,4010.21
2022/5/6,3908.81
2022/5/9,3877.44
2022/5/10,3919.87
2022/5/11,3976.42
2022/5/12,3958.74
2022/5/13,3988.60
2022/5/16,3956.54
2022/5/17,4005.89
2022/5/18,3991.91
2022/5/19,3999.60
2022/5/20,4077.60
2022/5/23,4053.98
2022/5/24,3959.15
2022/5/25,3983.18
2022/5/26,3993.04
2022/5/27,4001.30
2022/5/30,4029.02
2022/5/31,4091.52
2022/6/1,4083.18
2022/6/2,4089.57
2022/6/6,4166.08
2022/6/7,4179.13
2022/6/8,4219.81
2022/6/9,4175.67
2022/6/10,4238.99
2022/6/13,4189.35
2022/6/14,4222.31
2022/6/15,4278.22
2022/6/16,4250.06
2022/6/17,4309.04
2022/6/20,4330.43
2022/6/21,4325.57
2022/6/22,4270.62
2022/6/23,4343.88
2022/6/24,4394.77
2022/6/27,4444.26
2022/6/28,4490.52
2022/6/29,4421.36
2022/6/30,4485.01
2022/7/1,4466.72
2022/7/4,4496.03
2022/7/5,4489.54
2022/7/6,4423.97
2022/7/7,4443.47
2022/7/8,4428.78
2022/7/11,4354.62
2022/7/12,4313.62
2022/7/13,4321.46
2022/7/14,4322.07
2022/7/15,4248.53
2022/7/18,4292.59
2022/7/19,4269.34
2022/7/20,4283.80
2022/7/21,4236.06
2022/7/22,4238.23
2022/7/25,4212.64
2022/7/26,4245.98
2022/7/27,4225.04
2022/7/28,4225.67
2022/7/29,4170.10
2022/8/1,4188.68
2022/8/2,4107.02
2022/8/3,4066.98
2022/8/4,4101.54
2022/8/5,4156.91
2022/8/8,4148.07
2022/8/9,4156.29
2022/8/10,4109.74
2022/8/11,4193.54
2022/8/12,4191.15
2022/8/15,4185.68
2022/8/16,4177.84
2022/8/17,4216.96
2022/8/18,4180.10
2022/8/19,4151.07
2022/8/22,4181.40
2022/8/23,4161.08
2022/8/24,4082.42
2022/8/25,4116.24
2022/8/26,4107.55
2022/8/29,4089.52
2022/8/30,4075.79
2022/8/31,4078.84
2022/9/1,4043.74
2022/9/2,4023.61
2022/9/5,4015.43
2022/9/6,4052.28
2022/9/7,4054.98
2022/9/8,4037.68
2022/9/9,4093.79
2022/9/13,4111.11
2022/9/14,4065.36
2022/9/15,4027.12
2022/9/16,3932.68
2022/9/19,3928.00
2022/9/20,3932.84
2022/9/21,3903.73
2022/9/22,3869.34
2022/9/23,3856.02
2022/9/26,3836.68
2022/9/27,3892.29
2022/9/28,3828.71
2022/9/29,3827.14
2022/9/30,3804.89
2022/10/10,3720.94
2022/10/11,3727.69
2022/10/12,3784.31
2022/10/13,3752.67
2022/10/14,3842.47
2022/10/17,3846.41
2022/10/18,3838.27
2022/10/19,3776.53
2022/10/20,3754.93
2022/10/21,3742.89
2022/10/24,3633.37
2022/10/25,3627.45
2022/10/26,3656.90
2022/10/27,3631.14
2022/10/28,3541.33
2022/10/31,3508.70
2022/11/1,3634.17
2022/11/2,3677.81
2022/11/3,3647.90
2022/11/4,3767.17
2022/11/7,3775.30
2022/11/8,3749.33
2022/11/9,3714.27
2022/11/10,3685.69
2022/11/11,3788.44
2022/11/14,3794.02
2022/11/15,3865.97
2022/11/16,3834.39
2022/11/17,3818.66
2022/11/18,3801.57
2022/11/21,3769.13
2022/11/22,3769.57
2022/11/23,3773.53
2022/11/24,3756.81
2022/11/25,3775.78
2022/11/28,3733.24
2022/11/29,3848.42
2022/11/30,3853.04
2022/12/1,3894.77
2022/12/2,3870.95
2022/12/5,3946.88
2022/12/6,3968.20
2022/12/7,3958.44
2022/12/8,3959.18
2022/12/9,3998.24
2022/12/12,3953.44
2022/12/13,3945.68
2022/12/14,3954.89
2022/12/15,3951.99
2022/12/16,3954.23
2022/12/19,3893.22
2022/12/20,3829.02
2022/12/21,3830.54
2022/12/22,3836.03
2022/12/23,3828.22
2022/12/26,3843.49
2022/12/27,3887.85
2022/12/28,3871.26
2022/12/29,3856.70
2022/12/30,3871.63
2023/1/3,3887.90
2023/1/4,3892.95
2023/1/5,3968.58
2023/1/6,3980.89
2023/1/9,4013.12
2023/1/10,4017.47
2023/1/11,4010.03
2023/1/12,4017.87
2023/1/13,4074.38
2023/1/16,4137.96
2023/1/17,4137.24
2023/1/18,4130.31
2023/1/19,4156.01
2023/1/20,4181.53
2023/1/30,4201.35
2023/1/31,4156.86
2023/2/1,4195.93
2023/2/2,4181.15
2023/2/3,4141.63
2023/2/6,4086.88
2023/2/7,4094.23
2023/2/8,4076.14
2023/2/9,4130.86
2023/2/10,4106.31
2023/2/13,4143.57
2023/2/14,4145.29
2023/2/15,4123.69
2023/2/16,4093.49
2023/2/17,4034.51
2023/2/20,4133.49
2023/2/21,4144.35
2023/2/22,4106.95
2023/2/23,4103.65
2023/2/24,4061.05
2023/2/27,4043.84
2023/2/28,4069.46
2023/3/1,4126.94
2023/3/2,4117.74
2023/3/3,4130.55
2023/3/6,4109.01
2023/3/7,4048.85
2023/3/8,4034.11
2023/3/9,4019.85
2023/3/10,3967.14
2023/3/13,4008.69
2023/3/14,3984.70
2023/3/15,3986.90
2023/3/16,3939.15
2023/3/17,3958.82
2023/3/20,3939.08
2023/3/21,3982.38
2023/3/22,3999.44
2023/3/23,4039.09
2023/3/24,4027.05
2023/3/27,4012.48
2023/3/28,3999.51
2023/3/29,4006.14
2023/3/30,4038.53
2023/3/31,4050.93
2023/4/3,4090.57
2023/4/4,4103.10
2023/4/6,4096.64
2023/4/7,4123.28
2023/4/10,4104.81
2023/4/11,4100.15
2023/4/12,4097.29
2023/4/13,4068.98
2023/4/14,4092.00
2023/4/17,4149.38
2023/4/18,4162.03
2023/4/19,4124.56
2023/4/20,4113.02
2023/4/21,4032.57
2023/4/24,3982.64
2023/4/25,3962.67
2023/4/26,3959.23
2023/4/27,3988.42
2023/4/28,4029.09
2023/5/4,4030.25
2023/5/5,4016.88
2023/5/8,4062.66
2023/5/9,4027.88
2023/5/10,3996.87
2023/5/11,3990.66
2023/5/12,3937.76
2023/5/15,3998.89
2023/5/16,3978.21
2023/5/17,3960.17
2023/5/18,3956.07
2023/5/19,3944.54
2023/5/22,3969.33
2023/5/23,3913.19
2023/5/24,3859.09
2023/5/25,3850.50
2023/5/26,3850.95
2023/5/29,3833.94
2023/5/30,3837.75
2023/5/31,3798.54
2023/6/1,3806.87
2023/6/2,3861.83
2023/6/5,3844.25
2023/6/6,3808.16
2023/6/7,3789.34
2023/6/8,3820.19
2023/6/9,3836.70
2023/6/12,3844.43
2023/6/13,3864.91
2023/6/14,3864.02
2023/6/15,3925.50
2023/6/16,3963.35
2023/6/19,3930.91
2023/6/20,3924.24
2023/6/21,3864.03
2023/6/26,3809.70
2023/6/27,3845.43
2023/6/28,3840.80
2023/6/29,3821.84
2023/6/30,3842.45
2023/7/3,3892.88
2023/7/4,3899.01
2023/7/5,3868.81
2023/7/6,3842.75
2023/7/7,3825.70
2023/7/10,3844.33
2023/7/11,3869.49
2023/7/12,3843.44
2023/7/13,3898.42
2023/7/14,3899.10
2023/7/17,3867.17
2023/7/18,3854.94
2023/7/19,3850.87
2023/7/20,3823.69
2023/7/21,3821.91
2023/7/24,3805.22
2023/7/25,3915.12
2023/7/26,3907.01
2023/7/27,3902.35
2023/7/28,3992.74
2023/7/31,4014.63
2023/8/1,3998.00
2023/8/2,3969.90
2023/8/3,4004.98
2023/8/4,4020.58
2023/8/7,3990.15
2023/8/8,3979.73
2023/8/9,3967.57
2023/8/10,3975.72
2023/8/11,3884.25
2023/8/14,3855.91
2023/8/15,3846.54
2023/8/16,3818.33
2023/8/17,3831.10
2023/8/18,3784.00
2023/8/21,3729.55
2023/8/22,3758.23
2023/8/23,3696.63
2023/8/24,3723.43
2023/8/25,3709.15
2023/8/28,3752.62
2023/8/29,3790.11
2023/8/30,3788.51
2023/8/31,3765.27
2023/9/1,3791.49
2023/9/4,3848.95
2023/9/5,3820.32
2023/9/6,3812.03
2023/9/7,3758.47
2023/9/8,3739.99
2023/9/11,3767.54
2023/9/12,3760.60
2023/9/13,3736.65
2023/9/14,3733.51
2023/9/15,3708.78
2023/9/18,3727.71
2023/9/19,3720.50
2023/9/20,3705.69
2023/9/21,3672.44
2023/9/22,3738.93
2023/9/25,3714.60
2023/9/26,3692.89
2023/9/27,3700.50
2023/9/28,3689.52
2023/10/9,3684.73
2023/10/10,3657.13
2023/10/11,3667.55
2023/10/12,3702.38
2023/10/13,3663.41
2023/10/16,3626.60
2023/10/17,3639.40
2023/10/18,3610.58
2023/10/19,3533.54
2023/10/20,3510.59
2023/10/23,3474.24
2023/10/24,3487.13
2023/10/25,3504.46
2023/10/26,3514.14
2023/10/27,3562.39
2023/10/30,3583.77
2023/10/31,3572.51
2023/11/1,3571.03
2023/11/2,3554.19
2023/11/3,3584.14
2023/11/6,3632.61
2023/11/7,3619.76
2023/11/8,3611.07
2023/11/9,3612.83
2023/11/10,3586.49
2023/11/13,3579.41
2023/11/14,3582.06
2023/11/15,3607.25
2023/11/16,3572.36
2023/11/17,3568.07
2023/11/20,3576.32
2023/11/21,3581.07
